Jahr,Altersgruppe,Woche,Tote
2021,Insgesamt,1,24842
2021,Insgesamt,2,24500
2021,Insgesamt,3,24075
2021,Insgesamt,4,22641
2021,Insgesamt,5,21732
2021,Insgesamt,6,20930
2021,Insgesamt,7,20467
2021,Insgesamt,8,18948
2021,Insgesamt,9,18434
2021,Insgesamt,10,18602
2021,Insgesamt,11,18332
2021,Insgesamt,12,18387
2021,Insgesamt,13,18489
2021,Insgesamt,14,18816
2021,Insgesamt,15,19058
2021,Insgesamt,16,19234
2021,Insgesamt,17,19497
2021,Insgesamt,18,19306
2021,Insgesamt,19,18585
2021,Insgesamt,20,17782
2021,Insgesamt,21,17149
2021,Insgesamt,22,18152
2021,Insgesamt,23,17397
2021,Insgesamt,24,19034
2021,Insgesamt,25,17168
2021,Insgesamt,26,16975
2021,Insgesamt,27,16941
2021,Insgesamt,28,17610
2021,Insgesamt,29,17566
2021,Insgesamt,30,17190
2021,Insgesamt,31,16978
2021,Insgesamt,32,17515
2021,Insgesamt,33,17421
2021,Insgesamt,34,17135
2021,Insgesamt,35,17306
2021,Insgesamt,36,18789
2021,Insgesamt,37,17975
2021,Insgesamt,38,18046
2021,Insgesamt,39,18007
2021,Insgesamt,40,18087
2021,Insgesamt,41,18793
2021,Insgesamt,42,19621
2021,Insgesamt,43,20007
2021,Insgesamt,44,20021
2021,Insgesamt,45,20789
2021,Insgesamt,46,22021
2021,Insgesamt,47,22891
2021,Insgesamt,48,23629
2021,Insgesamt,49,23410
2021,Insgesamt,50,22422
2021,Insgesamt,51,
2021,Insgesamt,52,
2021,Insgesamt,53,
2021,0-30,1,119
2021,0-30,2,124
2021,0-30,3,130
2021,0-30,4,147
2021,0-30,5,136
2021,0-30,6,109
2021,0-30,7,115
2021,0-30,8,138
2021,0-30,9,157
2021,0-30,10,113
2021,0-30,11,149
2021,0-30,12,109
2021,0-30,13,136
2021,0-30,14,131
2021,0-30,15,144
2021,0-30,16,153
2021,0-30,17,119
2021,0-30,18,149
2021,0-30,19,132
2021,0-30,20,155
2021,0-30,21,146
2021,0-30,22,158
2021,0-30,23,152
2021,0-30,24,167
2021,0-30,25,164
2021,0-30,26,153
2021,0-30,27,146
2021,0-30,28,139
2021,0-30,29,154
2021,0-30,30,142
2021,0-30,31,149
2021,0-30,32,138
2021,0-30,33,136
2021,0-30,34,146
2021,0-30,35,140
2021,0-30,36,157
2021,0-30,37,145
2021,0-30,38,157
2021,0-30,39,143
2021,0-30,40,148
2021,0-30,41,130
2021,0-30,42,154
2021,0-30,43,160
2021,0-30,44,128
2021,0-30,45,131
2021,0-30,46,157
2021,0-30,47,133
2021,0-30,48,152
2021,0-30,49,124
2021,0-30,50,117
2021,0-30,51,
2021,0-30,52,
2021,0-30,53,
2021,30-35,1,50
2021,30-35,2,51
2021,30-35,3,56
2021,30-35,4,58
2021,30-35,5,60
2021,30-35,6,46
2021,30-35,7,37
2021,30-35,8,41
2021,30-35,9,39
2021,30-35,10,68
2021,30-35,11,55
2021,30-35,12,54
2021,30-35,13,53
2021,30-35,14,47
2021,30-35,15,59
2021,30-35,16,53
2021,30-35,17,57
2021,30-35,18,53
2021,30-35,19,42
2021,30-35,20,56
2021,30-35,21,48
2021,30-35,22,45
2021,30-35,23,38
2021,30-35,24,45
2021,30-35,25,57
2021,30-35,26,48
2021,30-35,27,57
2021,30-35,28,64
2021,30-35,29,52
2021,30-35,30,51
2021,30-35,31,48
2021,30-35,32,58
2021,30-35,33,63
2021,30-35,34,38
2021,30-35,35,55
2021,30-35,36,59
2021,30-35,37,59
2021,30-35,38,50
2021,30-35,39,46
2021,30-35,40,50
2021,30-35,41,54
2021,30-35,42,62
2021,30-35,43,52
2021,30-35,44,55
2021,30-35,45,48
2021,30-35,46,43
2021,30-35,47,45
2021,30-35,48,59
2021,30-35,49,53
2021,30-35,50,48
2021,30-35,51,
2021,30-35,52,
2021,30-35,53,
2021,35-40,1,72
2021,35-40,2,77
2021,35-40,3,72
2021,35-40,4,71
2021,35-40,5,82
2021,35-40,6,68
2021,35-40,7,70
2021,35-40,8,78
2021,35-40,9,100
2021,35-40,10,81
2021,35-40,11,80
2021,35-40,12,67
2021,35-40,13,83
2021,35-40,14,86
2021,35-40,15,70
2021,35-40,16,82
2021,35-40,17,80
2021,35-40,18,97
2021,35-40,19,99
2021,35-40,20,81
2021,35-40,21,76
2021,35-40,22,88
2021,35-40,23,80
2021,35-40,24,84
2021,35-40,25,85
2021,35-40,26,76
2021,35-40,27,56
2021,35-40,28,88
2021,35-40,29,63
2021,35-40,30,67
2021,35-40,31,82
2021,35-40,32,94
2021,35-40,33,80
2021,35-40,34,69
2021,35-40,35,96
2021,35-40,36,78
2021,35-40,37,99
2021,35-40,38,83
2021,35-40,39,88
2021,35-40,40,83
2021,35-40,41,75
2021,35-40,42,97
2021,35-40,43,77
2021,35-40,44,48
2021,35-40,45,73
2021,35-40,46,77
2021,35-40,47,91
2021,35-40,48,77
2021,35-40,49,87
2021,35-40,50,81
2021,35-40,51,
2021,35-40,52,
2021,35-40,53,
2021,40-45,1,119
2021,40-45,2,126
2021,40-45,3,117
2021,40-45,4,119
2021,40-45,5,125
2021,40-45,6,116
2021,40-45,7,119
2021,40-45,8,113
2021,40-45,9,130
2021,40-45,10,114
2021,40-45,11,104
2021,40-45,12,121
2021,40-45,13,125
2021,40-45,14,119
2021,40-45,15,112
2021,40-45,16,129
2021,40-45,17,132
2021,40-45,18,153
2021,40-45,19,122
2021,40-45,20,120
2021,40-45,21,96
2021,40-45,22,117
2021,40-45,23,116
2021,40-45,24,128
2021,40-45,25,114
2021,40-45,26,103
2021,40-45,27,100
2021,40-45,28,126
2021,40-45,29,101
2021,40-45,30,108
2021,40-45,31,91
2021,40-45,32,111
2021,40-45,33,126
2021,40-45,34,103
2021,40-45,35,105
2021,40-45,36,109
2021,40-45,37,109
2021,40-45,38,132
2021,40-45,39,116
2021,40-45,40,92
2021,40-45,41,123
2021,40-45,42,126
2021,40-45,43,103
2021,40-45,44,93
2021,40-45,45,142
2021,40-45,46,129
2021,40-45,47,149
2021,40-45,48,163
2021,40-45,49,139
2021,40-45,50,130
2021,40-45,51,
2021,40-45,52,
2021,40-45,53,
2021,45-50,1,184
2021,45-50,2,249
2021,45-50,3,218
2021,45-50,4,173
2021,45-50,5,187
2021,45-50,6,203
2021,45-50,7,206
2021,45-50,8,176
2021,45-50,9,194
2021,45-50,10,180
2021,45-50,11,205
2021,45-50,12,191
2021,45-50,13,199
2021,45-50,14,196
2021,45-50,15,198
2021,45-50,16,190
2021,45-50,17,189
2021,45-50,18,210
2021,45-50,19,198
2021,45-50,20,194
2021,45-50,21,184
2021,45-50,22,172
2021,45-50,23,182
2021,45-50,24,190
2021,45-50,25,200
2021,45-50,26,164
2021,45-50,27,188
2021,45-50,28,195
2021,45-50,29,202
2021,45-50,30,193
2021,45-50,31,169
2021,45-50,32,171
2021,45-50,33,194
2021,45-50,34,164
2021,45-50,35,184
2021,45-50,36,205
2021,45-50,37,180
2021,45-50,38,181
2021,45-50,39,164
2021,45-50,40,179
2021,45-50,41,182
2021,45-50,42,161
2021,45-50,43,196
2021,45-50,44,177
2021,45-50,45,211
2021,45-50,46,189
2021,45-50,47,200
2021,45-50,48,200
2021,45-50,49,195
2021,45-50,50,203
2021,45-50,51,
2021,45-50,52,
2021,45-50,53,
2021,50-55,1,443
2021,50-55,2,431
2021,50-55,3,444
2021,50-55,4,455
2021,50-55,5,459
2021,50-55,6,423
2021,50-55,7,415
2021,50-55,8,406
2021,50-55,9,386
2021,50-55,10,407
2021,50-55,11,372
2021,50-55,12,401
2021,50-55,13,416
2021,50-55,14,426
2021,50-55,15,409
2021,50-55,16,473
2021,50-55,17,486
2021,50-55,18,440
2021,50-55,19,389
2021,50-55,20,399
2021,50-55,21,378
2021,50-55,22,384
2021,50-55,23,389
2021,50-55,24,410
2021,50-55,25,349
2021,50-55,26,390
2021,50-55,27,361
2021,50-55,28,368
2021,50-55,29,376
2021,50-55,30,347
2021,50-55,31,390
2021,50-55,32,373
2021,50-55,33,367
2021,50-55,34,363
2021,50-55,35,381
2021,50-55,36,375
2021,50-55,37,386
2021,50-55,38,393
2021,50-55,39,355
2021,50-55,40,399
2021,50-55,41,405
2021,50-55,42,378
2021,50-55,43,366
2021,50-55,44,390
2021,50-55,45,374
2021,50-55,46,436
2021,50-55,47,449
2021,50-55,48,444
2021,50-55,49,436
2021,50-55,50,432
2021,50-55,51,
2021,50-55,52,
2021,50-55,53,
2021,55-60,1,799
2021,55-60,2,807
2021,55-60,3,769
2021,55-60,4,768
2021,55-60,5,763
2021,55-60,6,738
2021,55-60,7,753
2021,55-60,8,654
2021,55-60,9,728
2021,55-60,10,691
2021,55-60,11,671
2021,55-60,12,701
2021,55-60,13,717
2021,55-60,14,739
2021,55-60,15,817
2021,55-60,16,758
2021,55-60,17,777
2021,55-60,18,782
2021,55-60,19,701
2021,55-60,20,740
2021,55-60,21,696
2021,55-60,22,733
2021,55-60,23,744
2021,55-60,24,734
2021,55-60,25,655
2021,55-60,26,719
2021,55-60,27,680
2021,55-60,28,700
2021,55-60,29,679
2021,55-60,30,673
2021,55-60,31,698
2021,55-60,32,684
2021,55-60,33,673
2021,55-60,34,671
2021,55-60,35,681
2021,55-60,36,695
2021,55-60,37,638
2021,55-60,38,696
2021,55-60,39,679
2021,55-60,40,718
2021,55-60,41,719
2021,55-60,42,730
2021,55-60,43,737
2021,55-60,44,695
2021,55-60,45,748
2021,55-60,46,755
2021,55-60,47,763
2021,55-60,48,861
2021,55-60,49,829
2021,55-60,50,772
2021,55-60,51,
2021,55-60,52,
2021,55-60,53,
2021,60-65,1,1203
2021,60-65,2,1167
2021,60-65,3,1131
2021,60-65,4,1045
2021,60-65,5,1092
2021,60-65,6,1111
2021,60-65,7,1075
2021,60-65,8,1014
2021,60-65,9,942
2021,60-65,10,1049
2021,60-65,11,922
2021,60-65,12,1016
2021,60-65,13,1021
2021,60-65,14,990
2021,60-65,15,1042
2021,60-65,16,1086
2021,60-65,17,1133
2021,60-65,18,1116
2021,60-65,19,1002
2021,60-65,20,1010
2021,60-65,21,977
2021,60-65,22,1004
2021,60-65,23,975
2021,60-65,24,1062
2021,60-65,25,1001
2021,60-65,26,966
2021,60-65,27,955
2021,60-65,28,991
2021,60-65,29,986
2021,60-65,30,948
2021,60-65,31,943
2021,60-65,32,926
2021,60-65,33,921
2021,60-65,34,995
2021,60-65,35,1013
2021,60-65,36,981
2021,60-65,37,962
2021,60-65,38,1013
2021,60-65,39,976
2021,60-65,40,1008
2021,60-65,41,1042
2021,60-65,42,1056
2021,60-65,43,996
2021,60-65,44,1031
2021,60-65,45,1036
2021,60-65,46,1157
2021,60-65,47,1219
2021,60-65,48,1232
2021,60-65,49,1238
2021,60-65,50,1165
2021,60-65,51,
2021,60-65,52,
2021,60-65,53,
2021,65-70,1,1504
2021,65-70,2,1540
2021,65-70,3,1537
2021,65-70,4,1496
2021,65-70,5,1469
2021,65-70,6,1452
2021,65-70,7,1392
2021,65-70,8,1338
2021,65-70,9,1309
2021,65-70,10,1321
2021,65-70,11,1330
2021,65-70,12,1328
2021,65-70,13,1293
2021,65-70,14,1402
2021,65-70,15,1376
2021,65-70,16,1476
2021,65-70,17,1435
2021,65-70,18,1416
2021,65-70,19,1396
2021,65-70,20,1345
2021,65-70,21,1282
2021,65-70,22,1398
2021,65-70,23,1259
2021,65-70,24,1325
2021,65-70,25,1237
2021,65-70,26,1213
2021,65-70,27,1243
2021,65-70,28,1342
2021,65-70,29,1278
2021,65-70,30,1190
2021,65-70,31,1234
2021,65-70,32,1212
2021,65-70,33,1266
2021,65-70,34,1188
2021,65-70,35,1206
2021,65-70,36,1346
2021,65-70,37,1231
2021,65-70,38,1299
2021,65-70,39,1281
2021,65-70,40,1304
2021,65-70,41,1287
2021,65-70,42,1368
2021,65-70,43,1341
2021,65-70,44,1383
2021,65-70,45,1437
2021,65-70,46,1477
2021,65-70,47,1498
2021,65-70,48,1614
2021,65-70,49,1569
2021,65-70,50,1608
2021,65-70,51,
2021,65-70,52,
2021,65-70,53,
2021,70-75,1,1900
2021,70-75,2,1924
2021,70-75,3,1905
2021,70-75,4,1864
2021,70-75,5,1751
2021,70-75,6,1695
2021,70-75,7,1717
2021,70-75,8,1605
2021,70-75,9,1583
2021,70-75,10,1629
2021,70-75,11,1621
2021,70-75,12,1613
2021,70-75,13,1624
2021,70-75,14,1690
2021,70-75,15,1774
2021,70-75,16,1741
2021,70-75,17,1734
2021,70-75,18,1782
2021,70-75,19,1729
2021,70-75,20,1703
2021,70-75,21,1573
2021,70-75,22,1559
2021,70-75,23,1549
2021,70-75,24,1692
2021,70-75,25,1454
2021,70-75,26,1512
2021,70-75,27,1571
2021,70-75,28,1556
2021,70-75,29,1553
2021,70-75,30,1577
2021,70-75,31,1505
2021,70-75,32,1564
2021,70-75,33,1489
2021,70-75,34,1526
2021,70-75,35,1491
2021,70-75,36,1649
2021,70-75,37,1563
2021,70-75,38,1596
2021,70-75,39,1657
2021,70-75,40,1552
2021,70-75,41,1634
2021,70-75,42,1726
2021,70-75,43,1765
2021,70-75,44,1664
2021,70-75,45,1720
2021,70-75,46,1894
2021,70-75,47,2037
2021,70-75,48,2066
2021,70-75,49,2003
2021,70-75,50,1904
2021,70-75,51,
2021,70-75,52,
2021,70-75,53,
2021,75-80,1,2851
2021,75-80,2,2837
2021,75-80,3,2780
2021,75-80,4,2571
2021,75-80,5,2549
2021,75-80,6,2453
2021,75-80,7,2400
2021,75-80,8,2360
2021,75-80,9,2172
2021,75-80,10,2194
2021,75-80,11,2142
2021,75-80,12,2254
2021,75-80,13,2275
2021,75-80,14,2159
2021,75-80,15,2292
2021,75-80,16,2318
2021,75-80,17,2368
2021,75-80,18,2269
2021,75-80,19,2163
2021,75-80,20,2024
2021,75-80,21,1966
2021,75-80,22,2028
2021,75-80,23,2005
2021,75-80,24,2152
2021,75-80,25,1957
2021,75-80,26,1856
2021,75-80,27,1884
2021,75-80,28,2019
2021,75-80,29,1928
2021,75-80,30,1977
2021,75-80,31,1884
2021,75-80,32,1935
2021,75-80,33,1969
2021,75-80,34,1915
2021,75-80,35,1930
2021,75-80,36,2059
2021,75-80,37,1991
2021,75-80,38,1965
2021,75-80,39,1950
2021,75-80,40,1887
2021,75-80,41,2033
2021,75-80,42,2113
2021,75-80,43,2133
2021,75-80,44,2165
2021,75-80,45,2238
2021,75-80,46,2361
2021,75-80,47,2477
2021,75-80,48,2487
2021,75-80,49,2496
2021,75-80,50,2506
2021,75-80,51,
2021,75-80,52,
2021,75-80,53,
2021,80-85,1,5160
2021,80-85,2,5082
2021,80-85,3,4949
2021,80-85,4,4669
2021,80-85,5,4305
2021,80-85,6,4247
2021,80-85,7,4152
2021,80-85,8,3806
2021,80-85,9,3800
2021,80-85,10,3650
2021,80-85,11,3737
2021,80-85,12,3500
2021,80-85,13,3687
2021,80-85,14,3765
2021,80-85,15,3728
2021,80-85,16,3669
2021,80-85,17,3905
2021,80-85,18,3747
2021,80-85,19,3699
2021,80-85,20,3466
2021,80-85,21,3284
2021,80-85,22,3505
2021,80-85,23,3469
2021,80-85,24,3713
2021,80-85,25,3348
2021,80-85,26,3389
2021,80-85,27,3299
2021,80-85,28,3342
2021,80-85,29,3411
2021,80-85,30,3471
2021,80-85,31,3228
2021,80-85,32,3311
2021,80-85,33,3381
2021,80-85,34,3398
2021,80-85,35,3390
2021,80-85,36,3724
2021,80-85,37,3564
2021,80-85,38,3519
2021,80-85,39,3560
2021,80-85,40,3667
2021,80-85,41,3710
2021,80-85,42,3881
2021,80-85,43,4089
2021,80-85,44,4028
2021,80-85,45,4174
2021,80-85,46,4445
2021,80-85,47,4649
2021,80-85,48,4826
2021,80-85,49,4713
2021,80-85,50,4520
2021,80-85,51,
2021,80-85,52,
2021,80-85,53,
2021,85-90,1,4959
2021,85-90,2,4793
2021,85-90,3,4846
2021,85-90,4,4378
2021,85-90,5,4168
2021,85-90,6,4057
2021,85-90,7,3817
2021,85-90,8,3557
2021,85-90,9,3379
2021,85-90,10,3487
2021,85-90,11,3323
2021,85-90,12,3423
2021,85-90,13,3411
2021,85-90,14,3456
2021,85-90,15,3450
2021,85-90,16,3494
2021,85-90,17,3487
2021,85-90,18,3561
2021,85-90,19,3362
2021,85-90,20,3219
2021,85-90,21,3091
2021,85-90,22,3366
2021,85-90,23,3118
2021,85-90,24,3556
2021,85-90,25,3168
2021,85-90,26,3130
2021,85-90,27,3099
2021,85-90,28,3208
2021,85-90,29,3270
2021,85-90,30,3168
2021,85-90,31,3233
2021,85-90,32,3256
2021,85-90,33,3285
2021,85-90,34,3233
2021,85-90,35,3224
2021,85-90,36,3538
2021,85-90,37,3453
2021,85-90,38,3365
2021,85-90,39,3454
2021,85-90,40,3403
2021,85-90,41,3612
2021,85-90,42,3799
2021,85-90,43,3828
2021,85-90,44,3961
2021,85-90,45,4183
2021,85-90,46,4316
2021,85-90,47,4602
2021,85-90,48,4661
2021,85-90,49,4753
2021,85-90,50,4514
2021,85-90,51,
2021,85-90,52,
2021,85-90,53,
2021,90-95,1,3888
2021,90-95,2,3769
2021,90-95,3,3608
2021,90-95,4,3401
2021,90-95,5,3190
2021,90-95,6,2945
2021,90-95,7,2973
2021,90-95,8,2585
2021,90-95,9,2448
2021,90-95,10,2586
2021,90-95,11,2534
2021,90-95,12,2582
2021,90-95,13,2449
2021,90-95,14,2583
2021,90-95,15,2536
2021,90-95,16,2532
2021,90-95,17,2501
2021,90-95,18,2474
2021,90-95,19,2503
2021,90-95,20,2300
2021,90-95,21,2364
2021,90-95,22,2537
2021,90-95,23,2345
2021,90-95,24,2609
2021,90-95,25,2408
2021,90-95,26,2256
2021,90-95,27,2287
2021,90-95,28,2402
2021,90-95,29,2437
2021,90-95,30,2264
2021,90-95,31,2297
2021,90-95,32,2551
2021,90-95,33,2409
2021,90-95,34,2326
2021,90-95,35,2375
2021,90-95,36,2661
2021,90-95,37,2507
2021,90-95,38,2504
2021,90-95,39,2493
2021,90-95,40,2578
2021,90-95,41,2677
2021,90-95,42,2748
2021,90-95,43,2904
2021,90-95,44,2902
2021,90-95,45,2962
2021,90-95,46,3239
2021,90-95,47,3173
2021,90-95,48,3335
2021,90-95,49,3335
2021,90-95,50,3087
2021,90-95,51,
2021,90-95,52,
2021,90-95,53,
2021,95,1,1591
2021,95,2,1523
2021,95,3,1513
2021,95,4,1426
2021,95,5,1396
2021,95,6,1267
2021,95,7,1226
2021,95,8,1077
2021,95,9,1067
2021,95,10,1032
2021,95,11,1087
2021,95,12,1027
2021,95,13,1000
2021,95,14,1027
2021,95,15,1051
2021,95,16,1080
2021,95,17,1094
2021,95,18,1057
2021,95,19,1048
2021,95,20,970
2021,95,21,988
2021,95,22,1058
2021,95,23,976
2021,95,24,1167
2021,95,25,971
2021,95,26,1000
2021,95,27,1015
2021,95,28,1070
2021,95,29,1076
2021,95,30,1014
2021,95,31,1027
2021,95,32,1131
2021,95,33,1062
2021,95,34,1000
2021,95,35,1035
2021,95,36,1153
2021,95,37,1088
2021,95,38,1093
2021,95,39,1045
2021,95,40,1019
2021,95,41,1110
2021,95,42,1222
2021,95,43,1260
2021,95,44,1301
2021,95,45,1312
2021,95,46,1346
2021,95,47,1406
2021,95,48,1452
2021,95,49,1440
2021,95,50,1335
2021,95,51,
2021,95,52,
2021,95,53,
2020,Insgesamt,1,18883
2020,Insgesamt,2,19408
2020,Insgesamt,3,18953
2020,Insgesamt,4,18827
2020,Insgesamt,5,19774
2020,Insgesamt,6,19038
2020,Insgesamt,7,19648
2020,Insgesamt,8,18953
2020,Insgesamt,9,19505
2020,Insgesamt,10,19667
2020,Insgesamt,11,19849
2020,Insgesamt,12,19722
2020,Insgesamt,13,19678
2020,Insgesamt,14,20662
2020,Insgesamt,15,20502
2020,Insgesamt,16,19261
2020,Insgesamt,17,18557
2020,Insgesamt,18,17920
2020,Insgesamt,19,17651
2020,Insgesamt,20,17001
2020,Insgesamt,21,17163
2020,Insgesamt,22,16776
2020,Insgesamt,23,17262
2020,Insgesamt,24,16601
2020,Insgesamt,25,16401
2020,Insgesamt,26,17293
2020,Insgesamt,27,16457
2020,Insgesamt,28,16142
2020,Insgesamt,29,16537
2020,Insgesamt,30,16887
2020,Insgesamt,31,17433
2020,Insgesamt,32,17470
2020,Insgesamt,33,19720
2020,Insgesamt,34,17559
2020,Insgesamt,35,16656
2020,Insgesamt,36,16789
2020,Insgesamt,37,17155
2020,Insgesamt,38,17555
2020,Insgesamt,39,17446
2020,Insgesamt,40,17614
2020,Insgesamt,41,17501
2020,Insgesamt,42,17754
2020,Insgesamt,43,18588
2020,Insgesamt,44,18584
2020,Insgesamt,45,19007
2020,Insgesamt,46,19727
2020,Insgesamt,47,20182
2020,Insgesamt,48,21304
2020,Insgesamt,49,22604
2020,Insgesamt,50,24003
2020,Insgesamt,51,24724
2020,Insgesamt,52,25554
2020,Insgesamt,53,25497
2020,0-30,1,137
2020,0-30,2,135
2020,0-30,3,130
2020,0-30,4,117
2020,0-30,5,160
2020,0-30,6,151
2020,0-30,7,153
2020,0-30,8,154
2020,0-30,9,142
2020,0-30,10,168
2020,0-30,11,135
2020,0-30,12,141
2020,0-30,13,131
2020,0-30,14,135
2020,0-30,15,127
2020,0-30,16,140
2020,0-30,17,136
2020,0-30,18,126
2020,0-30,19,123
2020,0-30,20,133
2020,0-30,21,158
2020,0-30,22,124
2020,0-30,23,127
2020,0-30,24,150
2020,0-30,25,150
2020,0-30,26,135
2020,0-30,27,126
2020,0-30,28,152
2020,0-30,29,133
2020,0-30,30,137
2020,0-30,31,147
2020,0-30,32,127
2020,0-30,33,161
2020,0-30,34,139
2020,0-30,35,146
2020,0-30,36,128
2020,0-30,37,144
2020,0-30,38,133
2020,0-30,39,148
2020,0-30,40,127
2020,0-30,41,129
2020,0-30,42,112
2020,0-30,43,140
2020,0-30,44,141
2020,0-30,45,125
2020,0-30,46,127
2020,0-30,47,132
2020,0-30,48,116
2020,0-30,49,154
2020,0-30,50,130
2020,0-30,51,106
2020,0-30,52,147
2020,0-30,53,128
2020,30-35,1,74
2020,30-35,2,56
2020,30-35,3,62
2020,30-35,4,47
2020,30-35,5,41
2020,30-35,6,51
2020,30-35,7,41
2020,30-35,8,45
2020,30-35,9,55
2020,30-35,10,53
2020,30-35,11,45
2020,30-35,12,57
2020,30-35,13,44
2020,30-35,14,52
2020,30-35,15,44
2020,30-35,16,62
2020,30-35,17,52
2020,30-35,18,54
2020,30-35,19,43
2020,30-35,20,53
2020,30-35,21,31
2020,30-35,22,45
2020,30-35,23,48
2020,30-35,24,48
2020,30-35,25,57
2020,30-35,26,40
2020,30-35,27,77
2020,30-35,28,51
2020,30-35,29,57
2020,30-35,30,49
2020,30-35,31,47
2020,30-35,32,41
2020,30-35,33,61
2020,30-35,34,34
2020,30-35,35,48
2020,30-35,36,41
2020,30-35,37,58
2020,30-35,38,61
2020,30-35,39,51
2020,30-35,40,49
2020,30-35,41,42
2020,30-35,42,46
2020,30-35,43,51
2020,30-35,44,44
2020,30-35,45,46
2020,30-35,46,39
2020,30-35,47,56
2020,30-35,48,44
2020,30-35,49,53
2020,30-35,50,44
2020,30-35,51,57
2020,30-35,52,51
2020,30-35,53,49
2020,35-40,1,82
2020,35-40,2,98
2020,35-40,3,79
2020,35-40,4,78
2020,35-40,5,79
2020,35-40,6,77
2020,35-40,7,72
2020,35-40,8,90
2020,35-40,9,73
2020,35-40,10,71
2020,35-40,11,83
2020,35-40,12,67
2020,35-40,13,81
2020,35-40,14,89
2020,35-40,15,80
2020,35-40,16,77
2020,35-40,17,69
2020,35-40,18,85
2020,35-40,19,69
2020,35-40,20,70
2020,35-40,21,73
2020,35-40,22,103
2020,35-40,23,76
2020,35-40,24,67
2020,35-40,25,72
2020,35-40,26,73
2020,35-40,27,77
2020,35-40,28,77
2020,35-40,29,63
2020,35-40,30,83
2020,35-40,31,76
2020,35-40,32,67
2020,35-40,33,91
2020,35-40,34,69
2020,35-40,35,62
2020,35-40,36,65
2020,35-40,37,74
2020,35-40,38,80
2020,35-40,39,69
2020,35-40,40,76
2020,35-40,41,67
2020,35-40,42,71
2020,35-40,43,89
2020,35-40,44,81
2020,35-40,45,74
2020,35-40,46,74
2020,35-40,47,74
2020,35-40,48,73
2020,35-40,49,102
2020,35-40,50,76
2020,35-40,51,96
2020,35-40,52,91
2020,35-40,53,84
2020,40-45,1,119
2020,40-45,2,111
2020,40-45,3,102
2020,40-45,4,111
2020,40-45,5,117
2020,40-45,6,115
2020,40-45,7,128
2020,40-45,8,100
2020,40-45,9,106
2020,40-45,10,111
2020,40-45,11,118
2020,40-45,12,102
2020,40-45,13,113
2020,40-45,14,129
2020,40-45,15,113
2020,40-45,16,129
2020,40-45,17,113
2020,40-45,18,106
2020,40-45,19,121
2020,40-45,20,127
2020,40-45,21,111
2020,40-45,22,95
2020,40-45,23,106
2020,40-45,24,119
2020,40-45,25,101
2020,40-45,26,113
2020,40-45,27,109
2020,40-45,28,99
2020,40-45,29,106
2020,40-45,30,105
2020,40-45,31,98
2020,40-45,32,122
2020,40-45,33,128
2020,40-45,34,113
2020,40-45,35,87
2020,40-45,36,111
2020,40-45,37,100
2020,40-45,38,107
2020,40-45,39,108
2020,40-45,40,105
2020,40-45,41,124
2020,40-45,42,104
2020,40-45,43,104
2020,40-45,44,92
2020,40-45,45,107
2020,40-45,46,100
2020,40-45,47,128
2020,40-45,48,96
2020,40-45,49,119
2020,40-45,50,129
2020,40-45,51,119
2020,40-45,52,123
2020,40-45,53,114
2020,45-50,1,203
2020,45-50,2,198
2020,45-50,3,190
2020,45-50,4,175
2020,45-50,5,193
2020,45-50,6,185
2020,45-50,7,199
2020,45-50,8,198
2020,45-50,9,202
2020,45-50,10,165
2020,45-50,11,192
2020,45-50,12,233
2020,45-50,13,182
2020,45-50,14,214
2020,45-50,15,199
2020,45-50,16,182
2020,45-50,17,192
2020,45-50,18,199
2020,45-50,19,184
2020,45-50,20,182
2020,45-50,21,198
2020,45-50,22,167
2020,45-50,23,182
2020,45-50,24,180
2020,45-50,25,192
2020,45-50,26,184
2020,45-50,27,189
2020,45-50,28,181
2020,45-50,29,177
2020,45-50,30,173
2020,45-50,31,179
2020,45-50,32,203
2020,45-50,33,219
2020,45-50,34,171
2020,45-50,35,139
2020,45-50,36,163
2020,45-50,37,190
2020,45-50,38,174
2020,45-50,39,183
2020,45-50,40,168
2020,45-50,41,163
2020,45-50,42,176
2020,45-50,43,178
2020,45-50,44,184
2020,45-50,45,154
2020,45-50,46,192
2020,45-50,47,172
2020,45-50,48,202
2020,45-50,49,188
2020,45-50,50,203
2020,45-50,51,172
2020,45-50,52,171
2020,45-50,53,202
2020,50-55,1,392
2020,50-55,2,433
2020,50-55,3,449
2020,50-55,4,442
2020,50-55,5,455
2020,50-55,6,426
2020,50-55,7,407
2020,50-55,8,410
2020,50-55,9,384
2020,50-55,10,406
2020,50-55,11,415
2020,50-55,12,434
2020,50-55,13,436
2020,50-55,14,412
2020,50-55,15,437
2020,50-55,16,420
2020,50-55,17,379
2020,50-55,18,343
2020,50-55,19,407
2020,50-55,20,407
2020,50-55,21,392
2020,50-55,22,387
2020,50-55,23,405
2020,50-55,24,369
2020,50-55,25,372
2020,50-55,26,390
2020,50-55,27,367
2020,50-55,28,379
2020,50-55,29,395
2020,50-55,30,371
2020,50-55,31,402
2020,50-55,32,397
2020,50-55,33,410
2020,50-55,34,332
2020,50-55,35,357
2020,50-55,36,383
2020,50-55,37,375
2020,50-55,38,398
2020,50-55,39,386
2020,50-55,40,364
2020,50-55,41,397
2020,50-55,42,378
2020,50-55,43,371
2020,50-55,44,386
2020,50-55,45,383
2020,50-55,46,398
