Altersgruppe,weight
85,0.02365164923
0-30,0.3058187834
30-35,0.05927012589
35-40,0.05897322147
40-45,0.07847575797
45-50,0.08698184394
50-55,0.07758479558
55-60,0.06757239994
60-65,0.05865927564
65-70,0.05175855884
70-75,0.06115999211
75-80,0.04109985981
80-85,0.02899373621
