Jahr,Altersgruppe,Einwohner
2008,80-85,450513
2009,80-85,453700
2010,80-85,480272
2011,80-85,475838
2012,80-85,485876
2013,80-85,458304
2014,80-85,449106
2015,80-85,448413
2016,80-85,557352
2017,80-85,601037
2018,80-85,622557
2019,80-85,643708
2020,80-85,687458
2021,80-85,732760
2022,80-85,732760
2000,80-85,193387
2001,80-85,201446
2002,80-85,309447
2003,80-85,408189
2004,80-85,418011
2005,80-85,400714
2006,80-85,385189
2007,80-85,393333
2008,80-85,418497
2009,80-85,418992
2010,80-85,422592
2011,80-85,441272
2012,80-85,443417
2013,80-85,452450
2014,80-85,428716
2015,80-85,419124
2016,80-85,419843
2017,80-85,521955
2018,80-85,563565
2019,80-85,585337
2020,80-85,604464
2021,80-85,644569
2022,80-85,644569
2000,80-85,195477
2001,80-85,177109
2002,80-85,184069
2003,80-85,282744
2004,80-85,374843
2005,80-85,383977
2006,80-85,368690
2007,80-85,355099
2008,80-85,362878
2009,80-85,385635
2010,80-85,386792
2011,80-85,384053
2012,80-85,407244
2013,80-85,409089
2014,80-85,419703
2015,80-85,396544
2016,80-85,388732
2017,80-85,389704
2018,80-85,484835
2019,80-85,524879
2020,80-85,544669
2021,80-85,561973
2022,80-85,561973
2000,85,1612696
2001,85,1540092
2002,85,1451680
2003,85,1374891
2004,85,1411316
2005,85,1522810
2006,85,1639661
2007,85,1735029
2008,85,1802376
2009,85,1868798
2010,85,1951702
2011,85,1935741
2012,85,1998887
2013,85,2068651
2014,85,2147596
2015,85,2204791
2016,85,2246939
2017,85,2265473
2018,85,2277509
2019,85,2386854
2020,85,2505932
2021,85,2625444
2022,85,2625444
2000,Insgesamt,82259540
2001,Insgesamt,82440309
2002,Insgesamt,82536680
2003,Insgesamt,82531671
2004,Insgesamt,82500849
2005,Insgesamt,82437995
2006,Insgesamt,82314906
2007,Insgesamt,82217837
2008,Insgesamt,82002356
2009,Insgesamt,81802257
2010,Insgesamt,81751602
2011,Insgesamt,80327900
2012,Insgesamt,80523746
2013,Insgesamt,80767463
2014,Insgesamt,81197537
2015,Insgesamt,82175684
2016,Insgesamt,82521653
2017,Insgesamt,82792351
2018,Insgesamt,83019213
2019,Insgesamt,83166711
2020,Insgesamt,83155031
2021,Insgesamt,83237124
2022,Insgesamt,83237124
