Jahr,Altersgruppe,Bundesland,Einwohner
2000,0-65,Schleswig-Holstein,32450
2000,0-65,Thüringen,27906
2000,0-65,Baden-Württemberg,122246
2000,0-65,Bayern,139633
2000,0-65,Berlin,35394
2000,0-65,Brandenburg,34270
2000,0-65,Bremen,6402
2000,0-65,Hamburg,15621
2000,0-65,Hessen,65258
2000,0-65,Mecklenburg-Vorpommern,24379
2000,0-65,Niedersachsen,91219
2000,0-65,Nordrhein-Westfalen,206247
2000,0-65,Rheinland-Pfalz,46985
2000,0-65,Saarland,11631
2000,0-65,Sachsen,52192
2000,0-65,Sachsen-Anhalt,32516
2000,0-65,Schleswig-Holstein,31451
2000,0-65,Thüringen,29557
2000,0-65,Baden-Württemberg,125251
2000,0-65,Bayern,141301
2000,0-65,Berlin,36644
2000,0-65,Brandenburg,36767
2000,0-65,Bremen,6389
2000,0-65,Hamburg,16085
2000,0-65,Hessen,65957
2000,0-65,Mecklenburg-Vorpommern,26088
2000,0-65,Niedersachsen,93081
2000,0-65,Nordrhein-Westfalen,209878
2000,0-65,Rheinland-Pfalz,48319
2000,0-65,Saarland,11836
2000,0-65,Sachsen,55455
2000,0-65,Sachsen-Anhalt,34873
2000,0-65,Schleswig-Holstein,31885
2000,0-65,Thüringen,32296
2000,0-65,Baden-Württemberg,119411
2000,0-65,Bayern,134632
2000,0-65,Berlin,36385
2000,0-65,Brandenburg,38178
2000,0-65,Bremen,6353
2000,0-65,Hamburg,15065
2000,0-65,Hessen,63613
2000,0-65,Mecklenburg-Vorpommern,27931
2000,0-65,Niedersachsen,89833
2000,0-65,Nordrhein-Westfalen,203731
2000,0-65,Rheinland-Pfalz,46731
2000,0-65,Saarland,11672
2000,0-65,Sachsen,58131
2000,0-65,Sachsen-Anhalt,36259
2000,0-65,Schleswig-Holstein,30298
2000,0-65,Thüringen,33570
2000,0-65,Baden-Württemberg,118770
2000,0-65,Bayern,133961
2000,0-65,Berlin,35645
2000,0-65,Brandenburg,37556
2000,0-65,Bremen,6165
2000,0-65,Hamburg,14719
2000,0-65,Hessen,62283
2000,0-65,Mecklenburg-Vorpommern,27203
2000,0-65,Niedersachsen,88065
2000,0-65,Nordrhein-Westfalen,198802
2000,0-65,Rheinland-Pfalz,45753
2000,0-65,Saarland,11627
2000,0-65,Sachsen,57232
2000,0-65,Sachsen-Anhalt,35635
2000,0-65,Schleswig-Holstein,29046
2000,0-65,Thüringen,33293
2000,0-65,Baden-Württemberg,113048
2000,0-65,Bayern,127401
2000,0-65,Berlin,35303
2000,0-65,Brandenburg,38744
2000,0-65,Bremen,5946
2000,0-65,Hamburg,14578
2000,0-65,Hessen,59907
2000,0-65,Mecklenburg-Vorpommern,27689
2000,0-65,Niedersachsen,84138
2000,0-65,Nordrhein-Westfalen,188531
2000,0-65,Rheinland-Pfalz,43342
2000,0-65,Saarland,10953
2000,0-65,Sachsen,58432
2000,0-65,Sachsen-Anhalt,35843
2000,0-65,Schleswig-Holstein,27370
2000,0-65,Thüringen,33789
2000,0-65,Baden-Württemberg,113220
2000,0-65,Bayern,128010
2000,0-65,Berlin,35122
2000,0-65,Brandenburg,38554
2000,0-65,Bremen,5966
2000,0-65,Hamburg,14484
2000,0-65,Hessen,60488
2000,0-65,Mecklenburg-Vorpommern,27380
2000,0-65,Niedersachsen,83010
2000,0-65,Nordrhein-Westfalen,187303
2000,0-65,Rheinland-Pfalz,43696
2000,0-65,Saarland,10884
2000,0-65,Sachsen,58702
2000,0-65,Sachsen-Anhalt,36131
2000,0-65,Schleswig-Holstein,27244
2000,0-65,Thüringen,34106
2000,0-65,Baden-Württemberg,113666
2000,0-65,Bayern,129773
2000,0-65,Berlin,35772
2000,0-65,Brandenburg,38566
2000,0-65,Bremen,6529
2000,0-65,Hamburg,15356
2000,0-65,Hessen,60663
2000,0-65,Mecklenburg-Vorpommern,27692
2000,0-65,Niedersachsen,84311
2000,0-65,Nordrhein-Westfalen,189171
2000,0-65,Rheinland-Pfalz,43396
2000,0-65,Saarland,10924
2000,0-65,Sachsen,59246
2000,0-65,Sachsen-Anhalt,36731
2000,0-65,Schleswig-Holstein,27319
2000,0-65,Thüringen,34515
2000,0-65,Baden-Württemberg,117637
2000,0-65,Bayern,134260
2000,0-65,Berlin,37178
2000,0-65,Brandenburg,39008
2000,0-65,Bremen,6828
2000,0-65,Hamburg,16092
2000,0-65,Hessen,63584
2000,0-65,Mecklenburg-Vorpommern,28225
2000,0-65,Niedersachsen,86774
2000,0-65,Nordrhein-Westfalen,195317
2000,0-65,Rheinland-Pfalz,44821
2000,0-65,Saarland,11426
2000,0-65,Sachsen,60384
2000,0-65,Sachsen-Anhalt,36229
2000,0-65,Schleswig-Holstein,28633
2000,0-65,Thüringen,35640
2000,0-65,Baden-Württemberg,119690
2000,0-65,Bayern,137204
2000,0-65,Berlin,38448
2000,0-65,Brandenburg,37386
2000,0-65,Bremen,7029
2000,0-65,Hamburg,17195
2000,0-65,Hessen,64696
2000,0-65,Mecklenburg-Vorpommern,26747
2000,0-65,Niedersachsen,87806
2000,0-65,Nordrhein-Westfalen,196074
2000,0-65,Rheinland-Pfalz,45242
2000,0-65,Saarland,11653
2000,0-65,Sachsen,59141
2000,0-65,Sachsen-Anhalt,35659
2000,0-65,Schleswig-Holstein,29038
2000,0-65,Thüringen,34444
2000,0-65,Baden-Württemberg,122964
2000,0-65,Bayern,138590
2000,0-65,Berlin,41036
2000,0-65,Brandenburg,36652
2000,0-65,Bremen,7285
2000,0-65,Hamburg,18632
2000,0-65,Hessen,66320
2000,0-65,Mecklenburg-Vorpommern,27242
2000,0-65,Niedersachsen,88290
2000,0-65,Nordrhein-Westfalen,198718
2000,0-65,Rheinland-Pfalz,45309
2000,0-65,Saarland,11754
2000,0-65,Sachsen,60512
2000,0-65,Sachsen-Anhalt,35597
2000,0-65,Schleswig-Holstein,29430
2000,0-65,Thüringen,35075
2000,0-65,Baden-Württemberg,117277
2000,0-65,Bayern,134393
2000,0-65,Berlin,40593
2000,0-65,Brandenburg,34232
2000,0-65,Bremen,7200
2000,0-65,Hamburg,19112
2000,0-65,Hessen,64315
