jahr	woche	tote100kWeighted	baseline	excess
2020	01	2.909322345477962	3.1561742701752555	-0.07821238739253333
2020	02	3.0059198561814147	3.2129464206883847	-0.06443511263490476
2020	03	2.9247837282324345	3.2189716298913558	-0.09139189016985849
2020	04	2.9299363564153684	3.258716348666877	-0.10089248559053343
2020	05	3.0586104935829987	3.3699981266282375	-0.09239994247616667
2020	06	2.9457034641050264	3.369513783082063	-0.1257778855527878
2020	07	3.044893203688432	3.470200242642281	-0.12255979748016266
2020	08	2.9404825930345164	3.5494983787026113	-0.1715779867156041
2020	09	3.0270738245093276	3.633985438954733	-0.16700991917567376
2020	10	3.048591163605234	3.533759244298838	-0.13729517127584345
2020	11	3.0904355428618957	3.381230040675248	-0.08600257726187699
2020	12	3.065106654736447	3.2297374993945405	-0.05097344433996753
2020	13	3.0493943439474633	3.1213197979959366	-0.023043282554595534
2020	14	3.2171688702078214	3.0425389181144826	0.05739612763985935
2020	15	3.1820744719121916	2.942857849734547	0.08128718218558295
2020	16	2.9910404819337573	2.8692159802872594	0.04245916044086062
2020	17	2.883441648435238	2.8632861828066782	0.007039277369334629
2020	18	2.772393339439765	2.7795727059177824	-0.002582902927033559
2020	19	2.722134256631742	2.825111012963718	-0.03645051676179856
2020	20	2.621111657761253	2.754296402885837	-0.0483552696017171
2020	21	2.646426719611546	2.694441398529924	-0.017819900980060255
2020	22	2.584549674554878	2.71970456263658	-0.049694694761506675
2020	23	2.663497672801858	2.6836117067910252	-0.007495135730056557
2020	24	2.5545734089012053	2.6103026599050336	-0.02134972770010346
2020	25	2.5245764535936366	2.662318903438084	-0.05173777253602807
2020	26	2.6735846628240747	2.6882491558637738	-0.005455034927738023
2020	27	2.5308780797115817	2.7777003098973165	-0.08885848099101057
2020	28	2.4750109448093287	2.6657314950871682	-0.07154529652717445
2020	29	2.551737877348352	2.7283520757840853	-0.06473292065320324
2020	30	2.605338166244135	2.826338186396138	-0.07819305602412707
2020	31	2.692038704688935	2.76716184364887	-0.02714808283886838
2020	32	2.7016859032739298	2.7099009303461896	-0.0030314861256608427
2020	33	3.0433016788898293	2.6842734158840256	0.1337524936473593
2020	34	2.7240398404178854	2.6434505841626614	0.030486386519970265
2020	35	2.5755781797224877	2.677799876700421	-0.03817376267262007
2020	36	2.5950577240543278	2.6025851630959287	-0.002892293073955221
2020	37	2.6551089753305503	2.641232648446302	0.005253731394093908
2020	38	2.7094019867086043	2.6531002163029234	0.02122112465247805
2020	39	2.701934423444449	2.679795889942696	0.00826127601166915
2020	40	2.724361289119159	2.7045799646943474	0.007314009821501877
2020	41	2.7031599696687576	2.823493153224641	-0.04261854979830704
2020	42	2.7611342463446285	2.8094473514654927	-0.01719665794614822
2020	43	2.880602211954926	2.8140382931424286	0.02365423348172202
2020	44	2.893597415565416	2.7964787267355984	0.034728921018178704
2020	45	2.9604014163064	2.8686988519483663	0.031966605451022145
2020	46	3.073884247492005	2.876500958003988	0.06861923300904516
2020	47	3.135600021792952	2.9109254517276866	0.07718320987296923
2020	48	3.3209731905011584	2.928645766015332	0.13396206159122515
2020	49	3.53555285500548	3.0046648972127885	0.17668790895289455
2020	50	3.7539235302421843	3.008884070170852	0.24761321562948324
2020	51	3.884674094555443	3.0725847075292694	0.2643017082771306
2020	52	4.013900717490274	3.0196567962242753	0.3292572594704084
2021	01	3.8183650746157483	3.1561742701752555	0.20980806120180517
2021	02	3.757172177401498	3.2129464206883847	0.16938525747233313
2021	03	3.697648532174162	3.2189716298913558	0.14870491489822868
2021	04	3.468406666487122	3.258716348666877	0.06434752073650962
2021	05	3.3208692388490846	3.3699981266282375	-0.014578313083012717
2021	06	3.205649710589505	3.369513783082063	-0.04863137029303766
2021	07	3.132222829912108	3.470200242642281	-0.09739421044845242
2021	08	2.9097949078702325	3.5494983787026113	-0.1802236267160091
2021	09	2.7975340959065083	3.633985438954733	-0.23017465454919894
2021	10	2.844154439985829	3.533759244298838	-0.19514764777073512
2021	11	2.799353655584232	3.381230040675248	-0.17209015006113348
2021	12	2.8177609922319395	3.2297374993945405	-0.12755727276282725
2021	13	2.8188844287095196	3.1213197979959366	-0.09689342613358543
2021	14	2.8672206434069634	3.0425389181144826	-0.0576223606093319
2021	15	2.910075197002616	2.942857849734547	-0.01113973368944332
2021	16	2.935306640578684	2.8692159802872594	0.023034397112484895
2021	17	2.973436949253283	2.8632861828066782	0.03847005133752712
2021	18	2.9362639080273727	2.7795727059177824	0.056372406368788486
2021	19	2.8454353240639567	2.825111012963718	0.0071941637008159365
2021	20	2.706070611692405	2.754296402885837	-0.017509296073909497
2021	21	2.613807020484974	2.694441398529924	-0.029926194753741364
2021	22	2.756364822105155	2.71970456263658	0.013479500667908928
2021	23	2.6369933632081057	2.6836117067910252	-0.017371493597583165
2021	24	2.8977865273177468	2.6103026599050336	0.11013430428147064
2021	25	2.6041766819974517	2.662318903438084	-0.021838939492015097
2021	26	2.5671023852056245	2.6882491558637738	-0.045065305942306955
2021	27	2.5812130861932565	2.7777003098973165	-0.0707373732882377
2021	28	2.6776285753438214	2.6657314950871682	0.00446297021233355
2021	29	2.671061483504769	2.7283520757840853	-0.02099824021533292
2021	30	2.623538207436883	2.826338186396138	-0.0717536138935464
2021	31	2.5762633799249692	2.76716184364887	-0.06898709743416231
2021	32	2.6640124964043888	2.7099009303461896	-0.016933620498052138
2021	33	2.6453300835485094	2.6842734158840256	-0.014507960368370543
2021	34	2.6139540104522183	2.6434505841626614	-0.011158360170287263
2021	35	2.6250114808412164	2.677799876700421	-0.0197133461385659
