jahr	woche	altersgruppe	tote100kWeighted	baseline	excess
2020	01	0-30	0.16881765884879382	0.189138676940049	-0.10743978132878818
2020	01	30-35	0.07858663607991848	0.05615400014998153	0.39948420183818945
2020	01	35-40	0.09139893205850977	0.07986050493668526	0.14448227106718603
2020	01	40-45	0.18547811189504115	0.19269469359497632	-0.037450858481363536
2020	01	45-50	0.35063155687052455	0.3606280424332175	-0.027719656783329993
2020	01	50-55	0.46881747674136115	0.5346601749521188	-0.12314868639066712
2020	01	55-60	0.7235668331182439	0.749554658968479	-0.03467102170507341
2020	01	60-65	0.9910744273316355	1.0574410916217274	-0.0627615711323547
2020	01	65-70	1.3100479794182773	1.3737493520802215	-0.046370447829863104
2020	01	70-75	2.188650623507146	2.658763809125464	-0.1768164528209636
2020	01	75-80	2.863219711633239	2.7565090051572425	0.038712264779961814
2020	01	80-85	3.09502988195372	3.3790820937470514	-0.08406194460885286
2020	01	85	7.007911449023757	7.71150026931983	-0.09123890238262689
2020	02	0-30	0.16635316747873843	0.1891356425765213	-0.12045574693075334
2020	02	30-35	0.05947096784426262	0.06598688041821757	-0.09874557688828167
2020	02	35-40	0.10923287002114583	0.07794068207530562	0.40148722223916344
2020	02	40-45	0.17300899512898799	0.19513313713628028	-0.11337972797434637
2020	02	45-50	0.3419953116274082	0.3613882145015808	-0.053662244910003265
2020	02	50-55	0.5178519577270647	0.525017562857481	-0.013648315099054065
2020	02	55-60	0.7086990214788279	0.7636173996746998	-0.07191870983985837
2020	02	60-65	1.0082140664614807	1.0827192177726437	-0.06881299425388798
2020	02	65-70	1.3427991789037343	1.3916816417113602	-0.03512474501532892
2020	02	70-75	2.4013504728338964	2.7070716121446794	-0.11293426370371318
2020	02	75-80	2.9272155164462337	2.786715699649476	0.050417707416092084
2020	02	80-85	3.159263161863191	3.4843694259117135	-0.09330418916859129
2020	02	85	7.196676740579951	7.825120926940437	-0.08031111496269272
2020	03	0-30	0.16019193905359996	0.17672031208424452	-0.09352842825880303
2020	03	30-35	0.0658428572561479	0.058063945891764966	0.1339714558649414
2020	03	35-40	0.08805506869051552	0.08094716189380521	0.08780921567126954
2020	03	40-45	0.15898123876717812	0.17637119469685175	-0.09859861730575459
2020	03	45-50	0.328177319238422	0.37370708929071056	-0.12183277052277286
2020	03	50-55	0.5369873649409979	0.5245105758439002	0.02378748813028886
2020	03	55-60	0.7166285210198498	0.7369604118277118	-0.027588850746321003
2020	03	60-65	1.0112387086608652	1.0549993782665958	-0.04147933212778865
2020	03	65-70	1.3301212952319446	1.3840811746760058	-0.03898606558007156
2020	03	70-75	2.2487614504907927	2.6993325079903756	-0.1669194351439972
2020	03	75-80	2.8727005716055345	2.8789493505753354	-0.0021705067400897837
2020	03	80-85	3.127991696644106	3.452505962241461	-0.0939938320589232
2020	03	85	6.957888646761365	7.843961405598367	-0.11296240675082836
2020	04	0-30	0.14417274514823997	0.1917959802710311	-0.24830152881980994
2020	04	30-35	0.0499131337264347	0.057970657095145595	-0.13899313501805421
2020	04	35-40	0.08694044756785076	0.07554984880092278	0.15076931254942316
2020	04	40-45	0.17300899512898799	0.1798349985837691	-0.037957035663452876
2020	04	45-50	0.30226858350907293	0.34965888472644363	-0.1355329530792464
2020	04	50-55	0.5286156242849022	0.5007911455542369	0.05556104371588133
2020	04	55-60	0.6700427112163464	0.7582367514517829	-0.11631464719505213
2020	04	60-65	0.9557869350054836	1.0782900021422588	-0.1136086459981972
2020	04	65-70	1.4040756166507184	1.3773367862515817	0.019413429355870537
2020	04	70-75	2.345863555618222	2.726093836647342	-0.13947806048259226
2020	04	75-80	2.9651389563354154	2.8603312107725047	0.03664182146745332
2020	04	80-85	3.0848877851259084	3.529239834732772	-0.12590588070377173
2020	04	85	6.823865289756465	7.981006421454805	-0.14498686889759616
2020	05	0-30	0.19715930960443073	0.19035880623803272	0.035724658610720494
2020	05	30-35	0.04354124431454942	0.057778691707460375	-0.24641346095194838
2020	05	35-40	0.08805506869051552	0.07504659873701403	0.1733385679354651
2020	05	40-45	0.18236083270352788	0.18854049071043316	-0.032776291095986454
2020	05	45-50	0.33335906638429186	0.37364734169335667	-0.10782433276918224
2020	05	50-55	0.5441631426462228	0.5319595694464667	0.02294079080568956
2020	05	55-60	0.715637333577222	0.7850424265049373	-0.08840935290174246
2020	05	60-65	0.996115497663943	1.0749050686939894	-0.07329909712471239
2020	05	65-70	1.512894118166914	1.4397527609976593	0.050801331416494344
